antimuslim1_1,antimuslim1_2,antimuslim1_3,antimuslim1_4,antimuslim2_1,antimuslim2_2,antimuslim2_3,antimuslim2_4,antimuslim3_1,antimuslim3_2,antimuslim3_3,antimuslim3_4,filler1_1,filler1_2,filler1_3,filler1_4,filler2_1,filler2_2,filler2_3,filler2_4,filler3_1,filler3_2,filler3_3,filler3_4,politicians1_1,politicians1_2,politicians1_3,politicians1_4,politicians2_1,politicians2_2,politicians2_3,politicians2_4,politicians3_1,politicians3_2,politicians3_3,politicians3_4,age,gender,race,race_text,religion,religion_text,conservative,democrat,filler_1,filler_2,filler_3,muslim1,muslim2,muslim3,muslim4,muslim5,muslim6,muslims7,politicians_1,politicians_2,politicians_3,politicians_4,politicians_5,politicians_6,politicians_7
1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,2,4,1,7,1,1,23,1,3, ,2, ,4,4,7,7,7,1,1,7,7,7,7,7,1,1,1,7,7,1,1
7,7,7,7,7,7,7,7,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,3,3,3,3,31,2,8, ,1, ,6,1,6,7,7,4,5,1,1,1,3,1,6,3,5,2,6,5,5
7,7,7,7,7,7,7,7,7,7,7,7,2,2,2,2,1,1,4,4,1,1,1,1,5,5,5,5,5,5,5,5,4,4,5,5,43,1,8, ,1, ,6,1,7,7,7,5,7,1,3,1,3,2,4,4,4,1,1,5,6
5,3,4,5,2,3,3,3,5,6,5,5,6,5,5,5,5,5,5,4,3,4,3,2,3,5,4,4,4,4,3,3,4,4,4,3,57,2,8, ,2, ,1,7,6,6,5,2,5,5,5,4,4,4,1,2,2,5,6,2,3
2,5,3,5,6,6,6,6,2,5,5,5,3,4,4,4,6,5,5,5,2,2,2,2,5,4,4,4,4,3,4,3,6,6,6,6,41,1,8, ,4, ,4,3,3,7,7,6,2,5,2,2,4,3,2,1,1,6,6,1,1
3,1,2,1,2,1,1,1,1,1,1,1,6,7,7,7,5,5,6,6,5,6,6,6,7,7,7,7,6,3,6,5,6,4,6,5,39,2,8, ,2, ,4,4,7,7,7,1,3,5,5,5,4,4,1,1,1,7,7,2,2
5,5,6,6,5,6,6,6,5,6,6,6,5,5,5,5,4,5,4,4,4,3,4,4,4,4,5,5,5,5,6,6,4,5,5,5,27,2,2, ,2, ,3,5,6,7,6,3,4,3,4,4,4,4,2,1,2,5,5,3,4
5,3,5,5,5,3,5,5,5,3,5,5,6,4,6,6,6,4,6,6,6,4,6,6,5,3,5,5,5,2,5,5,5,3,5,5,23,2,8, ,1, ,2,6,6,3,7,3,4,4,4,4,4,4,2,2,2,6,5,3,3
2,1,1,2,1,2,2,1,1,1,1,1,6,7,7,6,5,6,6,7,4,4,5,5,3,4,3,5,5,5,6,5,6,6,7,6,27,1,8, ,1, ,3,5,3,4,6,1,3,7,6,4,7,6,2,5,2,4,5,2,2
6,5,6,6,6,6,6,6,7,5,6,6,7,7,6,6,7,7,7,7,7,6,7,6,5,7,7,5,7,7,7,6,6,6,7,7,55,2,8, ,4, ,4,4,5,7,7,5,3,5,6,4,4,5,1,3,2,6,6,1,2
7,7,7,7,3,2,3,3,7,7,7,7,4,3,3,4,7,7,7,7,7,7,7,7,6,7,6,6,5,4,5,4,7,7,7,7,28,2,2, ,2, ,4,4,7,7,7,4,6,1,1,1,1,1,1,1,1,5,4,4,1
7,7,6,7,7,7,6,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,4,4,7,7,7,7,7,7,7,7,7,7,7,7,24,2,3, ,11,none,4,4,3,7,1,4,2,6,6,6,6,7,2,2,2,7,6,2,2
3,3,3,2,2,3,3,2,3,3,2,3,5,6,6,5,3,3,4,3,2,2,2,3,5,5,6,5,5,5,6,5,5,5,4,5,25,1,10,Armenian,11,None,3,5,6,7,6,4,4,4,5,5,5,5,3,2,1,5,4,2,1
5,4,5,5,5,5,5,5,5,4,4,4,5,4,4,4,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,46,1,8, ,4, ,2,5,7,7,7,4,3,4,5,4,5,5,3,3,2,5,5,3,2
6,6,6,6,6,6,6,6,7,7,7,7,4,4,4,4,7,7,7,7,6,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,26,2,2, ,1, ,3,4,6,7,7,4,4,3,4,3,4,4,4,1,1,7,7,1,2
5,7,6,6,5,7,6,6,6,7,7,7,7,7,7,6,6,6,7,6,4,6,7,7,5,6,6,5,6,6,7,6,5,7,6,6,32,1,8, ,1, ,4,4,6,7,7,5,6,2,3,3,4,4,3,3,2,6,4,3,3
7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,55,1,8, ,4, ,6,1,7,7,7,7,1,1,1,1,1,1,1,1,1,6,4,1,1
5,6,5,6,4,5,5,5,6,6,6,6,3,2,2,2,4,4,5,5,3,2,2,2,6,6,6,6,4,5,5,5,5,6,6,6,29,2,8, ,1, ,2,6,6,7,7,3,3,4,6,4,5,5,5,5,5,2,2,5,7
5,5,6,4,5,6,6,5,7,6,6,6,4,3,2,2,3,3,2,2,1,2,2,2,6,6,5,7,6,5,5,6,5,4,3,4,32,2,6, ,1, ,4,4,7,7,6,4,2,4,1,1,4,3,4,1,4,3,3,3,5
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,4,1,4,4,3,1,1,2,28,1,8, ,10, ,6,2,4,7,5,5,2,4,2,1,4,3,4,5,3,5,3,4,6
6,7,7,7,7,7,7,7,6,7,7,6,4,4,4,4,5,6,4,4,3,2,5,4,6,6,6,7,4,5,5,6,7,7,7,7,38,1,8, ,10, ,5,3,7,4,5,5,6,1,3,3,4,3,2,3,1,4,5,2,2
4,2,4,4,4,2,4,4,5,2,5,5,6,4,5,5,5,3,5,5,6,3,5,5,5,3,5,5,5,3,5,5,6,3,6,6,27,2,8, ,1, ,2,4,5,5,6,2,3,3,2,4,5,4,4,1,3,2,2,4,5
6,6,6,6,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,5,5,5,5,21,2,8, ,1, ,2,4,6,6,7,4,4,3,3,1,3,2,5,2,4,4,6,4,5
6,7,4,3,6,6,5,4,4,5,3,4,1,2,1,2,3,4,2,3,1,3,1,1,5,6,3,2,2,6,2,2,4,2,2,2,37,2,7, ,4, ,4,4,7,4,7,3,3,2,4,3,3,2,4,2,5,7,7,1,1
6,6,5,4,5,6,6,6,5,6,7,7,6,6,3,6,6,5,7,6,6,5,5,5,6,2,5,5,6,3,3,2,6,5,6,7,25,2,2, ,5, ,6,2,6,5,5,3,6,4,1,1,3,2,2,6,3,1,1,1,2
7,7,7,7,7,7,7,7,7,7,7,7,2,1,1,1,4,3,2,2,3,4,4,3,7,7,7,7,7,7,7,7,7,7,7,7,28,2,8, ,4, ,7,1,7,7,7,7,7,1,1,1,1,1,5,2,5,4,3,3,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,33,1,8, ,2, ,2,6,7,3,7,4,4,4,4,4,5,4,1,1,1,6,7,1,1
7,6,7,7,7,6,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,25,1,8, ,1, ,2,2,7,7,7,1,1,7,7,7,7,7,2,2,2,5,5,4,2
6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,6,7,7,7,6,7,7,7,5,6,6,6,7,7,7,7,7,7,7,7,40,1,8, ,10, ,1,7,7,6,1,2,2,6,6,3,6,6,4,1,1,6,6,1,1
7,7,7,7,6,5,5,5,7,6,6,6,5,5,4,4,7,5,6,6,5,4,4,4,7,7,7,7,6,7,7,7,7,7,7,7,46,2,8, ,11,none,4,4,7,7,7,1,1,6,6,6,5,5,1,1,1,1,7,1,1
7,5,6,6,6,5,6,6,7,2,4,3,6,1,2,2,4,2,2,2,5,4,4,4,7,7,7,7,7,6,6,6,7,7,7,7,30,2,8, ,10, ,3,5,4,7,7,2,5,5,4,4,4,5,1,2,2,7,6,1,3
1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,34,2,5, ,1, ,3,4,7,7,7,1,1,3,5,5,6,7,1,1,1,7,7,1,3
7,7,7,7,5,5,6,5,6,5,7,6,1,2,1,1,7,6,7,7,7,6,6,6,7,7,7,7,7,7,7,7,7,7,6,7,28,2,8, ,2, ,4,4,4,7,7,4,5,3,2,1,3,3,1,1,1,2,7,1,1
6,1,1,1,4,2,2,2,5,1,1,3,2,1,1,1,2,2,2,2,1,1,1,1,7,7,7,7,6,7,7,7,7,7,7,7,36,2,8, ,1, ,1,4,5,6,7,2,5,2,5,1,4,3,1,1,1,7,7,1,1
6,7,6,6,7,7,7,7,7,7,7,7,3,4,3,3,5,4,5,5,3,4,4,4,7,3,2,2,7,6,6,6,7,7,7,7,44,2,8, ,5, ,3,2,6,3,7,7,2,1,1,1,1,1,1,1,1,6,6,1,1
5,5,5,5,5,5,5,5,6,6,6,6,5,6,6,6,6,7,7,6,6,6,5,5,6,6,6,6,7,7,7,7,7,7,7,7,36,1,8, ,1, ,4,4,7,6,6,2,2,5,1,1,5,5,1,1,1,7,7,1,1
7,4,5,6,7,5,7,7,7,4,6,5,7,2,2,2,7,5,7,7,7,3,4,2,7,7,7,7,7,7,7,7,7,7,7,7,27,1,3, ,4, ,2,6,7,7,7,1,2,2,6,3,5,5,1,1,1,1,4,4,1
6,7,7,7,5,4,4,3,4,5,5,6,7,7,7,7,3,2,2,2,1,1,1,1,4,5,5,5,5,5,5,5,5,5,5,5,33,2,8, ,1, ,4,4,7,7,7,7,5,2,1,1,1,1,7,2,4,7,5,2,7
4,3,3,3,5,4,4,4,5,3,3,3,1,1,1,1,4,4,4,4,2,2,2,2,6,6,6,6,5,5,5,5,7,7,7,7,26,2,8, ,1, ,3,5,4,4,7,7,6,2,2,2,3,2,1,1,1,6,6,1,2
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,28,2,8, ,10, ,6,2,7,6,7,7,1,7,7,7,7,7,7,7,7,1,1,7,7
5,1,1,2,4,1,1,1,3,1,1,1,3,2,5,6,2,1,1,2,5,3,5,3,4,3,6,2,6,4,6,3,6,4,6,5,20,1,8, ,10, ,2,5,7,7,7,7,1,6,7,7,6,7,2,2,3,5,3,3,2
6,5,5,5,6,5,5,5,7,3,4,4,7,4,4,4,4,2,2,2,3,1,2,2,6,5,5,5,6,4,5,5,5,2,4,4,39,2,8, ,10, ,5,4,4,6,7,3,4,3,3,3,4,4,4,3,4,4,5,3,5
6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,4,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,35,2,2, ,1, ,3,4,4,6,5,4,4,5,5,3,4,4,6,3,4,5,5,3,5
7,5,6,6,4,7,5,7,5,5,6,6,2,4,4,5,7,6,7,5,4,7,6,7,3,7,7,7,5,5,4,4,3,5,4,4,41,2,8, ,4, ,6,2,5,3,7,6,7,1,3,2,3,2,2,4,2,4,3,6,4
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,54,2,8, ,1, ,2,6,7,7,7,4,6,2,1,1,4,4,1,1,1,7,7,1,1
4,4,5,5,5,6,6,6,4,4,4,5,3,4,4,3,3,3,3,3,2,2,2,2,6,7,6,6,6,6,6,6,6,6,6,6,38,2,5, ,10, ,3,5,5,6,7,4,4,3,4,3,4,4,3,3,3,5,5,3,3
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,57,1,8, ,4, ,1,7,7,7,7,1,4,5,7,7,7,7,2,2,2,6,6,2,1
3,4,2,1,2,3,2,2,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,6,6,5,5,6,6,6,6,35,1,8, ,1, ,2,6,7,7,7,2,2,6,4,6,6,6,1,1,1,7,5,1,1
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,44,1,8, ,2, ,1,6,7,6,7,2,2,4,5,4,4,4,2,2,2,6,5,2,2
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,35,2,8, ,1, ,3,4,6,7,7,1,5,7,6,5,6,6,1,1,1,7,7,1,2
6,5,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,5,6,5,6,3,5,6,6,3,6,42,1,8, ,2, ,1,7,5,7,7,4,5,5,6,4,4,4,4,1,4,5,4,2,5
3,5,5,6,7,7,6,6,7,7,7,7,6,6,6,6,7,5,6,6,6,5,5,5,6,6,6,6,6,5,5,6,6,5,6,6,26,1,5, ,11,Christian,6,2,7,7,7,6,5,1,1,2,4,3,5,3,3,3,4,5,6
7,7,7,7,5,7,7,7,4,4,4,4,4,7,6,5,4,7,5,7,1,1,1,1,7,7,7,7,7,7,7,7,6,6,6,6,36,2,8, ,1, ,4,4,7,4,7,5,4,5,6,6,4,4,1,1,1,7,7,1,1
5,6,4,3,5,6,5,4,4,5,3,2,5,3,5,4,4,5,5,3,4,6,4,3,7,7,6,5,7,7,6,6,6,5,5,5,20,2,5, ,5, ,6,5,5,4,6,4,5,3,3,3,5,4,5,3,4,5,4,1,3
6,7,5,6,6,6,5,6,7,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,5,6,6,6,6,6,32,2,9,black/white,1, ,2,4,3,4,6,2,2,4,6,4,4,4,3,2,4,6,6,2,4
6,6,6,6,5,5,5,5,5,3,4,4,5,4,4,5,6,4,5,5,6,4,5,5,6,6,6,6,6,4,5,5,5,5,5,5,36,1,8, ,10, ,5,3,6,6,6,4,4,4,5,4,3,4,1,1,1,6,6,1,2
5,6,5,5,3,4,4,4,7,7,7,7,3,4,3,3,7,7,7,7,3,2,2,1,6,5,5,6,4,4,4,4,5,6,6,7,27,2,8, ,7, ,1,7,7,7,7,2,3,2,5,4,5,4,5,3,4,2,3,6,7
6,7,6,7,5,7,7,7,4,7,5,6,7,6,4,5,4,5,5,5,2,2,2,3,6,5,4,4,4,3,5,5,5,6,4,5,26,2,5, ,2, ,2,6,2,5,6,5,3,2,3,1,4,4,1,1,1,6,5,2,2
5,5,5,5,5,5,5,5,4,7,3,4,6,3,4,4,6,2,3,3,6,3,3,3,5,6,5,5,4,7,4,4,5,5,5,5,31,1,3, ,11,Christian,2,5,4,6,7,4,4,4,5,2,4,4,1,1,1,6,4,1,1
6,6,6,6,5,6,6,5,6,6,6,6,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,24,2,6, ,2, ,4,4,6,4,6,3,2,3,4,3,4,4,1,1,3,5,6,3,6
1,1,2,2,3,2,1,1,2,2,1,2,4,1,2,1,2,4,4,1,1,3,3,1,5,7,6,5,4,7,7,6,5,4,5,6,19,2,8, ,2, ,4,2,2,2,2,4,6,2,3,5,6,5,4,2,1,4,3,6,1
4,2,2,2,4,3,4,4,5,3,4,5,6,5,5,5,6,6,5,6,5,5,5,4,5,6,5,5,5,6,5,5,6,6,6,5,37,2,8, ,6, ,3,5,5,5,5,3,3,5,7,4,6,5,2,2,2,6,7,2,3
4,1,2,2,4,3,3,3,5,4,4,4,4,1,1,1,4,2,2,2,2,1,1,1,6,4,4,4,4,3,3,3,4,4,4,4,46,2,8, ,11,non religious,2,7,4,5,6,2,5,3,6,5,4,4,5,3,4,2,2,2,7
3,6,4,4,4,5,4,4,5,6,4,5,3,6,4,4,5,6,4,4,4,6,4,4,5,6,5,5,5,6,6,5,5,5,4,4,45,1,8, ,7, ,4,4,5,5,7,4,5,4,2,4,4,4,2,1,1,7,6,1,2
2,2,2,7,3,7,3,7,5,7,2,7,7,7,7,7,6,7,7,7,7,7,7,7,6,7,6,7,6,7,6,6,6,7,6,6,44,1,3, ,10, ,1,7,5,5,7,1,1,4,4,4,5,4,5,4,7,4,3,5,7
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,29,2,8, ,1, ,2,4,6,7,7,1,1,4,7,4,4,7,4,1,4,1,5,1,7
4,4,3,3,3,3,2,2,2,2,2,2,4,4,4,4,4,3,3,3,3,2,3,3,4,3,3,3,2,2,2,2,5,4,3,3,55,2,8, ,2, ,2,7,6,7,7,4,2,5,7,7,6,6,5,4,4,2,4,4,5
4,4,4,4,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,5,5,5,5,54,1,3, ,10, ,1,7,7,7,7,3,4,5,7,6,5,5,4,3,4,4,4,3,4
1,2,2,2,1,3,3,3,1,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,6,5,5,5,6,5,5,5,6,5,5,5,25,2,8, ,3, ,4,4,5,5,5,2,1,5,6,4,6,7,1,1,2,7,6,2,3
2,2,2,2,3,5,4,3,3,2,2,2,4,5,5,5,4,5,5,4,4,3,4,4,3,3,2,2,4,5,5,5,5,5,5,5,27,2,8, ,4, ,5,3,2,6,6,3,5,4,6,5,3,5,2,2,2,6,6,2,2
3,5,5,4,5,5,6,5,6,5,5,5,6,6,5,6,5,5,4,4,5,4,5,6,6,7,7,6,6,5,5,5,6,5,6,5,32,2,5, ,4, ,3,5,6,7,7,2,3,2,3,2,3,3,4,3,3,4,3,5,3
6,4,5,6,6,6,6,6,2,4,4,5,2,3,3,2,1,1,1,1,5,4,5,5,7,6,7,7,6,6,6,7,4,5,6,6,30,2,3, ,11,Christian,6,6,7,4,5,4,5,3,6,5,2,6,4,3,4,5,4,4,5
5,2,5,5,5,2,4,4,4,2,4,4,6,5,6,6,6,3,5,5,6,4,5,5,6,6,6,6,7,7,7,7,7,7,7,7,48,1,8, ,2, ,1,7,6,7,7,4,4,4,5,5,6,6,4,1,2,5,6,2,2
5,4,5,5,5,5,5,5,5,4,5,5,3,2,3,3,4,3,3,3,2,2,3,3,4,5,5,5,5,4,4,4,5,5,5,5,29,2,2, ,3, ,3,3,5,7,7,2,2,3,4,4,4,5,3,2,4,5,3,4,4
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,69,1,8, ,10, ,3,5,6,3,6,4,6,4,4,2,4,5,3,1,2,6,6,1,1
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,7,6,1,6,6,7,7,7,7,7,7,7,7,6,6,6,6,52,1,8, ,10, ,1,7,7,7,7,1,1,7,5,7,7,7,4,4,4,4,4,4,4
3,3,3,3,3,3,3,3,2,2,2,2,1,1,1,1,3,3,3,3,2,2,2,2,6,6,6,6,5,5,5,5,6,6,6,6,30,2,3, ,4, ,4,4,6,4,7,1,4,5,5,5,5,5,5,3,5,2,4,5,5
1,2,2,2,1,2,2,2,1,2,2,2,4,6,6,6,5,5,5,5,4,5,5,5,3,4,4,4,3,4,4,3,2,3,3,3,36,2,2, ,2, ,2,6,6,6,6,3,2,5,6,6,7,7,2,2,2,6,5,2,2
6,2,4,5,5,3,5,5,5,4,5,6,6,2,4,5,6,3,6,5,5,1,4,5,6,3,5,5,6,3,5,6,6,3,5,5,31,2,8, ,5, ,3,5,7,4,6,3,4,3,5,5,5,3,5,4,2,3,2,5,5
7,7,7,7,7,7,7,7,7,7,7,7,4,4,4,4,7,7,7,7,1,1,1,1,7,7,7,7,5,5,5,5,7,7,7,7,50,1,8, ,2, ,3,5,7,7,7,7,7,1,3,1,2,2,1,1,1,7,7,1,1
4,5,3,2,5,6,5,4,4,5,2,2,6,6,3,2,3,5,2,3,2,5,2,2,5,7,5,5,5,6,4,5,4,6,5,4,30,2,8, ,2, ,4,4,7,6,7,4,3,4,5,3,4,3,2,1,2,6,7,1,3
5,1,1,1,4,4,4,4,4,2,2,2,5,6,6,6,5,5,6,5,5,5,4,4,5,6,6,6,4,5,5,4,6,6,5,5,49,2,8, ,2, ,2,6,6,5,7,4,4,4,2,3,4,4,5,1,1,4,4,4,4
1,1,1,1,3,2,1,2,2,1,1,1,2,4,4,5,1,1,1,1,4,5,5,5,5,5,4,5,1,4,5,4,4,3,4,4,57,1,9,mixed,10, ,3,4,7,1,2,3,3,4,6,5,6,6,2,5,3,4,1,4,3
5,3,5,5,6,3,5,5,6,2,6,6,6,4,5,5,6,2,6,6,5,2,5,6,5,3,5,5,4,4,4,5,5,4,5,5,46,1,8, ,10, ,2,6,7,6,6,3,3,5,6,4,4,4,3,2,3,6,4,3,2
6,6,6,6,6,6,6,6,7,3,7,7,4,1,1,1,5,1,1,3,1,1,1,1,7,5,5,4,7,2,3,6,6,4,4,4,62,1,8, ,4, ,4,4,7,7,7,7,3,5,2,1,4,3,2,1,2,6,5,2,2
